id,nome,categoria,categoria_osm,bairro,bairro_fonte,endereco,latitude,longitude,tem_site,tem_telefone,tem_rede_social,tem_whatsapp,indice_presenca_digital,horario,fonte,osm_tipo,osm_id
1,Coopdisel,Automotivo,amenity=fuel,Amorim,nominatim_reverse,Não informado,-18.6708843,-48.178255300000004,0,0,0,0,0,,OpenStreetMap,node,9216432124
2,Bar do Estádio,Alimentação,amenity=pub,Bosque,nominatim_reverse,Não informado,-18.6527089,-48.1826706,0,0,0,0,0,,OpenStreetMap,node,10080842244
3,Kabana's do Bosque,Alimentação,amenity=restaurant,Bosque,nominatim_reverse,Não informado,-18.6512082,-48.1843534,0,0,0,0,0,,OpenStreetMap,way,1101597938
4,Mart Minas,Alimentação,shop=supermarket,Bosque,nominatim_reverse,Não informado,-18.6547114,-48.1504942,0,0,0,0,0,,OpenStreetMap,node,9216438612
5,Sombra,Automotivo,amenity=fuel,Bosque,nominatim_reverse,Não informado,-18.6638652,-48.1706205,0,0,0,0,0,,OpenStreetMap,node,9216460079
6,Serviço Social de Luto Frederico Ozanam,Serviços Gerais,shop=funeral_directors,Bosque,osm_tag,Rua Josias Batista Leite 2813,-18.6543601,-48.183683,0,1,0,0,30,,OpenStreetMap,node,3914704090
7,Droganil,Saúde,amenity=pharmacy,Brasília,nominatim_reverse,Não informado,-18.6574753,-48.2129458,0,0,0,0,0,,OpenStreetMap,node,9964308375
8,Conveniência do Marquinho,Alimentação,shop=convenience,Centro,osm_tag,Avenida Coronel Theodolino Pereira de Araújo 820,-18.6461446,-48.1898654,0,0,0,0,0,,OpenStreetMap,node,6257865071
9,Deck 57,Alimentação,amenity=pub,Centro,osm_tag,Avenida Coronel Theodolino Pereira de Araújo,-18.6466343,-48.1825233,0,0,0,0,0,,OpenStreetMap,node,3914938623
10,Fornalha,Alimentação,shop=bakery,Centro,nominatim_reverse,Não informado,-18.6487049,-48.1878143,0,0,0,0,0,,OpenStreetMap,node,3925621802
11,Japa,Alimentação,amenity=restaurant,Centro,nominatim_reverse,Não informado,-18.6504286,-48.1869581,0,0,0,0,0,,OpenStreetMap,way,1258461872
