id,nome_fantasia,categoria,bairro,endereco,faturamento_mensal_estimado,possui_google,possui_instagram,possui_whatsapp,avaliacao_google,num_avaliacoes_google,n_funcionarios,anos_atividade
45,ELÉTRICA & HIDRÁULICA JM II,Construção e Reforma,Amorim,"Av. Minas Gerais, 1955",9396.47,,não,Sim,,,10,26.5
165,Sapataria Central Express,VESTUÁRIO,Novo Horizonte,"Rua Marciano Santos, 799",1500,N,s,Sim,,,4,10.3
127,Chaveiro 24h,Serviços Gerais, Independência ,"Rua Hermogênio Veloso, 1517",10130.13,,n,Nao,,,8,23.2
109,Pão & Prosa Express,Alimentação,Bosque,"Rua Hermogênio Veloso, 1160",,NÃO,nao,S,,,3,18.6
235,Sapataria Central Express,Vestuário,Centro,"Rua Marciano Santos, 1685","R$ 13.857,92",n,S, Sim,,,3,21.5
215,SAPATARIA CENTRAL PRIME,Vestuário,São Sebastião,"Av. Coronel Teodolino Pereira de Araújo, 736",20627.61,N,n,n,,,2,2.7
169,InfoTech Araguari,Tecnologia e Informática,Rosário,"Rua Pedro Nasciutti, 725",16255.79,n,Não,SIM,,,4,20.5
94,CONTABILIDADE PRÁTICA JR.,Serviços Gerais,Jóquei Clube,"Rua Florestina Quintino, 1286",14668.31,S,Sim,sim ,3.7,244,2,10.4
99,Clínica Vida Plena,Saúde, Bosque ,"Av. das Palmeiras, 114","R$ 1.500,00",Sim,Sim,S,3.5,745,1,12.8
119,Odonto Sorriso Express,Saúde, Independência ,"Rua Florestina Quintino, 497",15350.13,não,s,SIM,,,,5.3
140,Farmácia Popular,SAÚDE, Bosque ,"Av. Coronel Teodolino Pereira de Araújo, 1665",,Não, Sim,não,,,4,8.5
88,tintas colorir ii,Construção e Reforma,São Sebastião,"Rua Pedro Nasciutti, 1730",14696.38,0,1,1,,,1,19.9
180,Loja Gamer Level Up Express,Tecnologia e Informática,Centro,"Av. Coronel Teodolino Pereira de Araújo, 2419","R$ 34.344,95",1,não,Sim,4.7,497,8,18.6
61,Pneu & Cia II,Automotivo,Independência,"Av. Senador Melo Viana, 1440","R$ 31.785,38",não,Sim,S,,,2,3.6
136,odonto sorriso,Saúde, Bosque ,"Av. Coronel Teodolino Pereira de Araújo, 1556","R$ 25.106,03",1,Sim,S,3.3,469,2,20.4
95,Moda Mineira Express,Vestuário,Centro,"Rua Hermogênio Veloso, 1580",1500,S, Sim,,4.3,227,2,23.2
141,Escola de Música Ritmo Jr.,Educação,Ouro Verde,"Rua Marciano Santos, 1517",25704.16,Nao, Sim,sim ,,,10,7.8
5,LOJA GAMER LEVEL UP JR.,Tecnologia e Informática,Amorim,"Rua Hermogênio Veloso, 2217","R$ 32.821,92",S,1,Sim,4.0,68,2,20.3
188,Material de Construção Alvorada Prime,CONSTRUÇÃO E REFORMA,Bosque,"Rua Marciano Santos, 2234",,Sim,SIM,Nao,4.1,101,2,12.2
2,ODONTO SORRISO JR.,SAÚDE,Bosque,"Rua Rui Barbosa, 1600",,sim ,1,s,4.3,829,3,24.8
151,CURSO PREPARATÓRIO APROVA II,Educação,Amorim,"Av. das Palmeiras, 465",26916.42,1,1,S,4.8,507,2,21.4
87,Curso Preparatório Aprova Prime,Educação,Centro,"Av. Minas Gerais, 2494",1500,Nao,s,Sim,,,3,13.7
103,InfoTech Araguari II,Tecnologia e Informática,São Sebastião,"Rua Rui Barbosa, 2011",14523.42,Nao, Sim,Nao,,,,9.3
23,Tintas Colorir Prime,Construção e Reforma,São Sebastião,"Rua Pedro Nasciutti, 1174",1500,s,nao,SIM,4.7,286,5,9.7
97,Loja Gamer Level Up,Tecnologia e Informática,Amorim,"Rua Rui Barbosa, 235",14512.99,NÃO,,Sim,,,2,27.6
170,farmácia popular prime,Saúde,Centro,"Av. Minas Gerais, 492",2492.08,Não,Sim,s,,,2,12.0
234,escola de música ritmo express,Educação,Independência,"Av. Minas Gerais, 1298",23209.99,N,,não,,,6,14.3
166,Studio Nail Art Jr.,Beleza e Estética, Amorim ,"Rua Pedro Nasciutti, 2099","R$ 17.434,62",n,,sim ,,,8,2.0
193,ASSISTÊNCIA NOTEBOOK JÁ JR.,Tecnologia e Informática,Amorim,"Av. Coronel Teodolino Pereira de Araújo, 2366",15416.57,N, Sim,SIM,,,1,9.1
125,Sapataria Central Prime,Vestuário,Centro,"Rua Marciano Santos, 739","R$ 8.737,64",nao,nao,S,,,5,26.7
3,Escola de Idiomas Fala Mundo,Educação,São Sebastião,"Rua Rui Barbosa, 750",41994.24,SIM,não, Sim,3.8,689,8,7.9
54,Papelaria Horizonte,VAREJO DIVERSO,Novo Horizonte,"Rua Marciano Santos, 1381",9931.52,S,,sim ,3.8,154,10,14.4
86,InfoTech Araguari II,TECNOLOGIA E INFORMÁTICA, Novo Horizonte ,"Rua Florestina Quintino, 1990",28941.48,SIM,,SIM,4.1,515,6,26.1
223,Lava Jato Estrela II,Automotivo,Sibipiruna,"Av. Senador Melo Viana, 1373","R$ 19.190,61",Não,s,S,,,,3.9
212,Moda Mineira Jr.,Vestuário,Independência,"Rua Florestina Quintino, 1545",26851.42,sim , Sim,não,3.5,437,3,4.1
14,Boutique Elegance Express,Vestuário,Independência,"Rua Rui Barbosa, 600","R$ 24.825,41",NÃO,s,S,,,3,8.0
142,Lava Jato Estrela Jr.,Automotivo,Centro,"Rua Marciano Santos, 250",22152.9,nao,1,SIM,,,1,26.7
173,brechó retrô jr.,VESTUÁRIO,Amorim,"Av. Minas Gerais, 89",20051.26,não,sim ,sim ,,,10,26.8
44,Brechó Retrô II,Vestuário,Novo Horizonte,"Av. Minas Gerais, 1378",12758.09,nao,N,sim ,,,8,4.5
175,Loja Gamer Level Up II,Tecnologia e Informática,Amorim,"Rua Hermogênio Veloso, 238",,N,Não,s,,,2,14.9
108,STUDIO NAIL ART EXPRESS,Beleza e Estética,Jóquei Clube,"Rua Rui Barbosa, 179","R$ 16.016,70",n, Sim,S,,,10,2.0
32,Sapataria Central Prime,Vestuário,Rosário,"Rua Rui Barbosa, 845","R$ 30.247,47",N,SIM,sim ,,,1,20.0
30,Funilaria Ideal II,Automotivo,Rosário,"Av. Senador Melo Viana, 2326",,SIM,NÃO,SIM,3.8,267,8,13.9
56,Escola de Idiomas Fala Mundo Prime,Educação,Jóquei Clube,"Rua Florestina Quintino, 474",21090.55,SIM,não,0,4.8,55,4,23.8
183,CONTABILIDADE PRÁTICA,Serviços Gerais,Jóquei Clube,"Av. Senador Melo Viana, 885",29426.72,Não,sim ,1,,,10,3.3
224,Livraria Saber Jr.,Varejo Diverso,Novo Horizonte,"Av. Minas Gerais, 2430",57227.89, Sim,não,sim ,3.7,125,2,7.3
1,PNEU & CIA II,Automotivo,Centro,"Rua Marciano Santos, 1768","R$ 16.968,94",S,nao,1,4.1,30,1,21.4
128,presentes & cia jr.,VAREJO DIVERSO,Rosário,"Rua Hermogênio Veloso, 116","R$ 1.500,00",não,0, Sim,,,1,27.8
161,Doceria Sonho Doce Prime,ALIMENTAÇÃO, Rosário ,"Av. Minas Gerais, 717",3500.41,Nao,1,SIM,,,2,6.7
207,Moto Peças Rosário Jr.,Automotivo, Ouro Verde ,"Rua Rui Barbosa, 2110","R$ 8.883,37",Sim,,sim ,3.2,182,,22.9
132,Moda Mineira II,Vestuário,Rosário,"Rua Marciano Santos, 2137","R$ 25.183,77",n,nao,s,,,1,22.1
218,Material de Construção Alvorada,Construção e Reforma,Jóquei Clube,"Rua Marciano Santos, 775",13245.18,0,n,S,,,2,18.1
161,Doceria Sonho Doce Prime,ALIMENTAÇÃO, Rosário ,"Av. Minas Gerais, 717",3500.41,Nao,1,SIM,,,2,6.7
29,Chaveiro 24h Express,Serviços Gerais,Jóquei Clube,"Rua Hermogênio Veloso, 1954",27428.0,nao,N,1,,,4,23.3
176,Lan House Conecta Jr.,Tecnologia e Informática,Bosque,"Av. Minas Gerais, 97",3103.85,SIM,,1,4.4,155,10,23.9
77,Moto Peças Rosário Jr.,Automotivo,São Sebastião,"Rua Hermogênio Veloso, 928",18514.37,nao,s, Sim,,,4,3.9
202,Tintas Colorir Express,Construção e Reforma,Amorim,"Rua Rui Barbosa, 1210",41701.35,,n,sim ,,,4,0.7
73,Curso Preparatório Aprova Prime,Educação, Centro ,"Rua Pedro Nasciutti, 221","R$ 27.321,78",sim ,S, Sim,4.9,40,,13.5
27,Acarajé da Leninha II,Alimentação,Santa Helena,"Rua Rui Barbosa, 720",19477.55,NÃO,S,Sim,,,5,16.3
91,MARCENARIA ARTE MADEIRA II,CONSTRUÇÃO E REFORMA,Rosário,"Rua Hermogênio Veloso, 461",17992.33,não,Sim,S,,,3,11.7
152,Moda Mineira,Vestuário,Centro,"Rua Hermogênio Veloso, 176",22318.94,s,SIM,S,4.2,98,8,4.8
74,Acarajé da Leninha Jr.,Alimentação,Santa Helena,"Rua Hermogênio Veloso, 1554",2544.48,S,sim ,1,4.5,398,2,20.5
228,cantina do zé ii,Alimentação, Jóquei Clube ,"Rua Pedro Nasciutti, 340",,SIM,s, Sim,4.1,721,2,13.4
186,Assistência Notebook Já Express,Tecnologia e Informática,Jóquei Clube,"Av. Coronel Teodolino Pereira de Araújo, 1753",11459.84,n,NÃO,N,,,4,24.8
72,Material de Construção Alvorada Prime,CONSTRUÇÃO E REFORMA,Sibipiruna,"Rua Florestina Quintino, 1037",35583.7,s,NÃO,1,3.9,768,3,20.7
20,Tintas Colorir Express,Construção e Reforma,Centro,"Rua Hermogênio Veloso, 1861",24184.71,S,0,1,4.0,596,3,18.6
43,Utilidades Lar Doce Lar,Varejo Diverso,Centro,"Rua Marciano Santos, 1606",14586.26,0,1,S,,,1,17.5
214,CANTINA DO ZÉ,Alimentação,Independência,"Rua Marciano Santos, 1105","R$ 12.275,90",n,Sim,sim ,,,2,27.0
6,marcenaria arte madeira,Construção e Reforma, Santa Helena ,"Av. Senador Melo Viana, 2129",502732.22,não,N,1,,,3,15.3
197,Marmitaria Dona Cida Jr.,Alimentação,Novo Horizonte,"Av. das Palmeiras, 1546",21019.2,1,NÃO,S,4.5,595,5,10.8
195,Moto Peças Rosário,Automotivo,Ouro Verde,"Av. Senador Melo Viana, 598",19498.92,S,NÃO, Sim,3.5,404,6,14.3
232,marcenaria arte madeira,Construção e Reforma,Centro,"Rua Rui Barbosa, 204",9083.13,SIM,não,sim ,4.2,572,6,25.0
66,escola de idiomas fala mundo express,EDUCAÇÃO,Jóquei Clube,"Av. Coronel Teodolino Pereira de Araújo, 366","R$ 28.613,15",NÃO,S,1,,,,23.5
163,Reforço Escolar Aprender+ Express,Educação,Amorim,"Rua Rui Barbosa, 2023",,nao,N,1,,,5,7.7
68,Livraria Saber Jr.,Varejo Diverso,Ouro Verde,"Rua Pedro Nasciutti, 616",23494.17,Não,0,1,,,6,15.7
130,LOJA ESTILO JOVEM,Vestuário, Miranda ,"Rua Florestina Quintino, 1555",14560.44,SIM,n,1,3.6,94,3,18.1
47,doceria sonho doce jr.,Alimentação,Ouro Verde,"Av. Senador Melo Viana, 1855",,sim ,não,Sim,3.4,102,5,9.5
178,Material de Construção Alvorada Prime,Construção e Reforma,Miranda,"Rua Pedro Nasciutti, 1911","R$ 17.780,67",0,N,s,,,10,3.6
131,laboratório bioanálise,Saúde,Centro,"Av. Coronel Teodolino Pereira de Araújo, 554",13567.33,n,N, Sim,,,6,22.3
187,Curso Preparatório Aprova II,Educação,Independência,"Rua Pedro Nasciutti, 213",3286.72,N, Sim,1,,,2,11.1
16,Odonto Sorriso Prime,Saúde,Miranda,"Rua Rui Barbosa, 1498",18189.9,1,n,não,,,4,24.3
227,Elétrica & Hidráulica JM,Construção e Reforma,Independência,"Av. Coronel Teodolino Pereira de Araújo, 1209","R$ 10.816,19",N,NÃO,Sim,,,,18.6
219,ESPAÇO ZEN ESTÉTICA PRIME,Beleza e Estética, Ouro Verde ,"Rua Hermogênio Veloso, 2004","R$ 27.207,41",1, Sim,1,3.4,296,5,16.9
33,Farmácia Popular Prime,Saúde,Rosário,"Rua Rui Barbosa, 1691",5506.18,S,s,s,4.9,261,1,4.7
160,Psicóloga Ana Ribeiro Prime,Saúde,Centro,"Rua Pedro Nasciutti, 1172",37314.08, Sim,S,n,3.3,36,2,25.9
112,pneu & cia ii,Automotivo, Santa Helena ,"Av. Minas Gerais, 1312",1500,nao,NÃO,SIM,,,2,5.7
